# MJD m dm
59384.416292 20.094000 0.584000
59384.461063 18.985000 0.968000
59385.343949 19.315000 0.405000
59385.349034 19.332000 0.372000
59385.353742 19.852000 0.642000
59385.359754 19.126000 0.309000
59391.458299 19.589000 0.607000
59391.461522 20.329000 1.665000
59391.468439 -21.796000 4.707000
59391.481340 20.020000 1.260000
59393.467522 20.289000 1.168000
59393.470298 19.494000 0.473000
59393.475817 19.279000 0.356000
59393.487809 19.221000 0.414000
59395.425760 19.768000 0.327000
59395.429506 20.475000 0.708000
59395.437028 19.715000 0.316000
59395.448143 19.352000 0.259000
59399.378867 20.008000 0.412000
59399.410104 19.613000 0.234000
59399.413328 20.259000 0.511000
59399.418854 19.556000 0.288000
59403.420229 19.001000 0.462000
59403.423455 18.644000 0.217000
59403.428999 20.081000 0.756000
59403.440115 20.928000 1.466000
59405.375306 -21.211000 0.900000
59405.378509 19.890000 0.564000
59405.409120 -13.970000 1.081000
59407.442045 19.791000 0.478000
59407.445282 -19.525000 1.024000
59407.463252 17.177000 0.561000
59409.373291 -23.909000 11.167000
59409.376492 21.302000 1.295000
59409.407968 19.829000 0.421000
59409.413457 20.517000 0.940000
59411.365790 20.990000 0.967000
59411.369028 20.226000 0.526000
59411.374556 20.320000 0.637000
59411.408108 19.269000 0.278000
59413.313380 19.346000 0.374000
59413.315208 20.614000 1.128000
59413.318871 17.706000 1.450000
59413.324817 19.283000 0.415000
59420.388125 19.335000 0.371000
59420.391350 19.923000 0.820000
59420.398731 19.640000 0.630000
59420.408895 19.631000 0.670000
59421.412887 20.751000 1.460000
59421.416094 19.074000 0.404000
59421.422513 19.935000 0.659000
59421.433081 20.255000 1.044000
59423.405556 19.477000 0.346000
59423.409702 19.437000 0.299000
59423.416152 19.361000 0.325000
59425.334369 19.705000 0.482000
59425.337572 19.855000 0.560000
59425.344082 19.425000 0.324000
59425.354194 19.756000 0.398000
59427.374280 20.457000 0.452000
59427.378446 -23.523000 8.500000
59427.402805 21.822000 1.468000
59427.418990 21.800000 1.566000
59428.426568 20.303000 0.359000
59428.436461 23.392000 7.600000
59428.450991 20.721000 0.656000
59428.456987 -23.793000 10.571000
59429.335230 19.610000 0.354000
59429.339420 20.193000 0.696000
59429.345888 19.660000 0.351000
59429.356453 19.431000 0.441000
59431.331194 -21.820000 1.452000
59431.334417 20.411000 0.455000
59431.340879 20.737000 0.713000
59431.351932 21.161000 1.047000
59433.326832 19.555000 0.308000
59433.330046 -21.928000 3.373000
59433.336010 20.831000 1.395000
59433.346536 19.717000 0.600000
59435.337595 21.097000 1.048000
59435.340824 20.565000 0.567000
59435.346811 20.834000 0.597000
59435.358794 20.527000 0.398000
59437.315718 19.834000 0.768000
59437.319381 19.329000 0.493000
59437.326700 20.049000 0.641000
59437.337261 20.300000 0.777000
59439.306654 19.253000 0.236000
59439.316784 19.275000 0.271000
59439.325536 19.303000 0.271000
59439.333362 19.788000 0.465000
59440.332503 19.403000 0.222000
59440.339133 19.641000 0.271000
59440.349943 19.451000 0.288000
59440.353265 19.885000 0.398000
59441.288653 20.379000 0.772000
59441.291854 19.746000 0.553000
59441.297831 19.440000 0.429000
59441.308362 19.218000 0.331000
59447.341303 19.656000 0.423000
59447.344537 19.438000 0.508000
59447.350992 20.020000 0.983000
59447.364380 19.060000 0.287000
59451.310564 19.902000 0.706000
59451.313788 19.021000 0.338000
59451.317009 19.139000 0.490000
59451.319313 20.687000 1.317000
59451.320697 19.392000 0.316000
