# MJD             m          dm
58636.3972801 19.6113777 0.10842061
58636.3977315 19.4825096 0.100261502
58636.3981829 19.7759323 0.119241238
58636.3986343 19.7975597 0.120680571
58647.2927778 19.9103985 0.128175601
58654.3459491 19.5677719 0.105620548
58674.2458681 19.6653137 0.111930221
58674.2463194 19.9670811 0.131890267
58674.2635417 19.6549644 0.111253254
58674.2932639 19.478754 0.10002929
58674.2937153 19.6594944 0.111549348
58685.2140278 19.7056522 0.11458227
58685.2144792 19.7061462 0.114614904
58685.2558102 19.5722733 0.105907887
58685.2629282 19.4693031 0.0994466171
58685.2786111 19.686512 0.113321371
58685.2790625 19.4123669 0.095984742
58686.2149653 19.6139374 0.108586065
58686.2154167 19.6782627 0.112779275
58686.2228125 19.5042877 0.101614513
58686.2242361 19.5076523 0.101824515
58686.2246875 19.7089882 0.11480251
58686.2328241 19.6165352 0.108754188
58686.2359838 19.4442291 0.0979116783
58686.2473958 19.5811234 0.10647399
58686.2500694 19.7387638 0.116772555
58686.2667824 19.5761452 0.106155336
58686.2690625 19.561079 0.105194114
58686.2695139 19.9885807 0.13328214
58686.2933796 20.0448532 0.136863157
58688.2154861 19.5959396 0.107425183
58688.2159375 19.800457 0.120873436
58688.2388773 19.5643044 0.105399467
58688.2433565 19.7091312 0.114811942
58688.2506366 19.8097019 0.12148913
58688.2550116 19.5664368 0.105535403
58688.2576736 19.7426624 0.117031097
58688.2896875 19.6607361 0.111630604
58688.2901389 19.4252357 0.0967597514
58690.2122106 19.7704391 0.118875913
58690.2222106 19.6723862 0.112393707
58690.2277083 19.7903385 0.1201998
58690.2319792 19.5959873 0.107428238
58690.2336227 19.5693588 0.105721787
58690.2375231 19.6564598 0.111351013
58690.2384375 19.5070953 0.10178975
58690.2462384 19.5473232 0.104320511
58690.257338 19.6610165 0.11164894
58690.2700347 19.7014198 0.114303112
58690.2704861 19.4341011 0.0972962603
58691.2376852 19.4347076 0.0973330587
58691.2381366 19.6633034 0.111798637
58691.2447454 19.6142654 0.108607337
58691.2537037 19.7229004 0.115721941
58691.2614236 19.809021 0.121443719
58691.262338 19.7392426 0.116804317
58691.2634144 19.6761513 0.112640686
58691.2906944 19.6273575 0.109455481
58691.2911458 19.4614525 0.098964341
58692.2344329 19.7738419 0.11910218
58692.2348843 19.6245022 0.109270275
58692.2433681 19.5063496 0.101743139
58692.253125 19.6752911 0.1125843
